estudiante_id,eleccion_real_id,eleccion_real_nombre,recomendaciones,is_hit,rank
1,5,Introducción matemática a las Redes Neuronales Artificiales,"[1, 2, 3]",False,
2,3,Tópicos de Matemática Aplicada,"[6, 2, 5]",False,
3,1,Introducción a la comunicación científica,"[1, 2, 3]",True,1.0
4,6,Modelos matemáticos para el arte y la cultura,"[1, 2, 3]",False,
5,1,Introducción a la comunicación científica,"[2, 5, 4]",False,
6,5,Introducción matemática a las Redes Neuronales Artificiales,"[1, 6, 2]",False,
7,5,Introducción matemática a las Redes Neuronales Artificiales,"[1, 2, 3]",False,
8,5,Introducción matemática a las Redes Neuronales Artificiales,"[2, 5, 4]",True,2.0
9,1,Introducción a la comunicación científica,"[1, 6, 2]",True,1.0
10,4,Tópicos de Matemática Aplicada???,"[1, 2, 3]",False,
11,3,Tópicos de Matemática Aplicada,"[6, 2, 5]",False,
12,6,Modelos matemáticos para el arte y la cultura,"[2, 5, 4]",False,
13,1,Introducción a la comunicación científica,"[6, 1, 2]",True,2.0
14,2,Introducción a la Programación Web,"[6, 1, 2]",True,3.0
15,1,Introducción a la comunicación científica,"[2, 5, 4]",False,
16,6,Modelos matemáticos para el arte y la cultura,"[2, 5, 4]",False,
17,1,Introducción a la comunicación científica,"[6, 1, 2]",True,2.0
18,1,Introducción a la comunicación científica,"[1, 2, 3]",True,1.0
19,3,Tópicos de Matemática Aplicada,"[6, 2, 5]",False,
20,4,Tópicos de Matemática Aplicada???,"[2, 5, 4]",True,3.0
21,5,Introducción matemática a las Redes Neuronales Artificiales,"[1, 2, 3]",False,
22,4,Tópicos de Matemática Aplicada???,"[1, 6, 2]",False,
23,1,Introducción a la comunicación científica,"[6, 1, 2]",True,2.0
24,4,Tópicos de Matemática Aplicada???,"[6, 1, 2]",False,
25,5,Introducción matemática a las Redes Neuronales Artificiales,"[6, 2, 5]",True,3.0
26,4,Tópicos de Matemática Aplicada???,"[6, 1, 2]",False,
27,6,Modelos matemáticos para el arte y la cultura,"[1, 6, 2]",True,2.0
28,7,EcuacionesDiferenciales++,"[6, 1, 2]",False,
29,7,EcuacionesDiferenciales++,"[2, 5, 4]",False,
30,7,EcuacionesDiferenciales++,"[6, 1, 2]",False,
31,1,Introducción a la comunicación científica,"[2, 5, 4]",False,
32,6,Modelos matemáticos para el arte y la cultura,"[1, 2, 3]",False,
33,4,Tópicos de Matemática Aplicada???,"[1, 6, 2]",False,
34,7,EcuacionesDiferenciales++,"[1, 6, 2]",False,
35,6,Modelos matemáticos para el arte y la cultura,"[6, 1, 2]",True,1.0
36,1,Introducción a la comunicación científica,"[1, 2, 3]",True,1.0
37,4,Tópicos de Matemática Aplicada???,"[6, 1, 2]",False,
38,1,Introducción a la comunicación científica,"[1, 6, 2]",True,1.0
39,7,EcuacionesDiferenciales++,"[6, 1, 2]",False,
40,7,EcuacionesDiferenciales++,"[1, 2, 5]",False,
41,7,EcuacionesDiferenciales++,"[1, 2, 3]",False,
42,1,Introducción a la comunicación científica,"[1, 2, 5]",True,1.0
43,5,Introducción matemática a las Redes Neuronales Artificiales,"[1, 2, 3]",False,
44,4,Tópicos de Matemática Aplicada???,"[6, 1, 2]",False,
45,7,EcuacionesDiferenciales++,"[6, 2, 5]",False,
46,1,Introducción a la comunicación científica,"[6, 2, 5]",False,
47,1,Introducción a la comunicación científica,"[1, 2, 3]",True,1.0
48,7,EcuacionesDiferenciales++,"[6, 1, 2]",False,
49,2,Introducción a la Programación Web,"[6, 1, 2]",True,3.0
50,5,Introducción matemática a las Redes Neuronales Artificiales,"[2, 5, 4]",True,2.0
51,3,Tópicos de Matemática Aplicada,"[6, 1, 2]",False,
52,4,Tópicos de Matemática Aplicada???,"[1, 2, 3]",False,
53,5,Introducción matemática a las Redes Neuronales Artificiales,"[2, 5, 4]",True,2.0
54,7,EcuacionesDiferenciales++,"[6, 2, 5]",False,
55,6,Modelos matemáticos para el arte y la cultura,"[6, 1, 2]",True,1.0
56,3,Tópicos de Matemática Aplicada,"[1, 2, 3]",True,3.0
57,6,Modelos matemáticos para el arte y la cultura,"[1, 6, 2]",True,2.0
58,6,Modelos matemáticos para el arte y la cultura,"[1, 2, 3]",False,
59,1,Introducción a la comunicación científica,"[1, 2, 3]",True,1.0
60,7,EcuacionesDiferenciales++,"[1, 2, 3]",False,
61,2,Introducción a la Programación Web,"[6, 1, 2]",True,3.0
62,7,EcuacionesDiferenciales++,"[1, 2, 3]",False,
63,6,Modelos matemáticos para el arte y la cultura,"[6, 1, 2]",True,1.0
64,1,Introducción a la comunicación científica,"[6, 1, 2]",True,2.0
65,4,Tópicos de Matemática Aplicada???,"[1, 2, 3]",False,
66,7,EcuacionesDiferenciales++,"[1, 2, 3]",False,
67,7,EcuacionesDiferenciales++,"[2, 5, 4]",False,
68,5,Introducción matemática a las Redes Neuronales Artificiales,"[2, 5, 4]",True,2.0
69,3,Tópicos de Matemática Aplicada,"[6, 1, 2]",False,
70,7,EcuacionesDiferenciales++,"[2, 5, 4]",False,
